uniqueKey,path,url,createdAt,page,sortBy,sortOrder,txRx,licenceDateType,fromDate,toDate,gridRefDefault,fromFrequency,toFrequency,licenceStatus,totalPages,totalItems,statusCode
8f81ac0eaf236885032fbfa64d71292d,data/page/8f81ac0eaf236885032fbfa64d71292d.json,"https://api.business.govt.nz/gateway/radio-spectrum-management/v1/licences?page=2&sort-by=Licence%20ID&sort-order=desc&txRx=TRN,%20RCV&LicenceDateType=LASTUPDATED_LU&fromDate=2024-11-26&toDate=2024-11-27&gridRefDefault=LAT_LONG_NZGD2000_D2000",2024-11-29T07:18:02Z,2,Licence ID,desc,"TRN, RCV",LASTUPDATED_LU,2024-11-26,2024-11-27,LAT_LONG_NZGD2000_D2000,NA,NA,NA,9,870,200
ae10daea5dbe4c9b363fad8826825933,data/page/ae10daea5dbe4c9b363fad8826825933.json,"https://api.business.govt.nz/gateway/radio-spectrum-management/v1/licences?page=8&sort-by=Licence%20ID&sort-order=desc&txRx=TRN,%20RCV&LicenceDateType=LASTUPDATED_LU&fromDate=2024-11-25&toDate=2024-11-26&gridRefDefault=LAT_LONG_NZGD2000_D2000",2024-11-29T07:18:02Z,8,Licence ID,desc,"TRN, RCV",LASTUPDATED_LU,2024-11-25,2024-11-26,LAT_LONG_NZGD2000_D2000,NA,NA,NA,8,712,200
49eb64338067997a2fea47a681195181,data/page/49eb64338067997a2fea47a681195181.json,"https://api.business.govt.nz/gateway/radio-spectrum-management/v1/licences?page=7&sort-by=Licence%20ID&sort-order=desc&txRx=TRN,%20RCV&LicenceDateType=LASTUPDATED_LU&fromDate=2024-11-25&toDate=2024-11-26&gridRefDefault=LAT_LONG_NZGD2000_D2000",2024-11-29T07:18:02Z,7,Licence ID,desc,"TRN, RCV",LASTUPDATED_LU,2024-11-25,2024-11-26,LAT_LONG_NZGD2000_D2000,NA,NA,NA,8,712,200
e672f05d46fab4687a7806d8bb9df0fb,data/page/e672f05d46fab4687a7806d8bb9df0fb.json,"https://api.business.govt.nz/gateway/radio-spectrum-management/v1/licences?page=6&sort-by=Licence%20ID&sort-order=desc&txRx=TRN,%20RCV&LicenceDateType=LASTUPDATED_LU&fromDate=2024-11-25&toDate=2024-11-26&gridRefDefault=LAT_LONG_NZGD2000_D2000",2024-11-29T07:18:02Z,6,Licence ID,desc,"TRN, RCV",LASTUPDATED_LU,2024-11-25,2024-11-26,LAT_LONG_NZGD2000_D2000,NA,NA,NA,8,712,200
182aa5e389b6e0d69fc4d751de9e68cb,data/page/182aa5e389b6e0d69fc4d751de9e68cb.json,"https://api.business.govt.nz/gateway/radio-spectrum-management/v1/licences?page=5&sort-by=Licence%20ID&sort-order=desc&txRx=TRN,%20RCV&LicenceDateType=LASTUPDATED_LU&fromDate=2024-11-25&toDate=2024-11-26&gridRefDefault=LAT_LONG_NZGD2000_D2000",2024-11-29T07:18:02Z,5,Licence ID,desc,"TRN, RCV",LASTUPDATED_LU,2024-11-25,2024-11-26,LAT_LONG_NZGD2000_D2000,NA,NA,NA,8,712,200
bba076a51ae86fc9dd2a958d5fdd0e99,data/page/bba076a51ae86fc9dd2a958d5fdd0e99.json,"https://api.business.govt.nz/gateway/radio-spectrum-management/v1/licences?page=4&sort-by=Licence%20ID&sort-order=desc&txRx=TRN,%20RCV&LicenceDateType=LASTUPDATED_LU&fromDate=2024-11-25&toDate=2024-11-26&gridRefDefault=LAT_LONG_NZGD2000_D2000",2024-11-29T07:18:02Z,4,Licence ID,desc,"TRN, RCV",LASTUPDATED_LU,2024-11-25,2024-11-26,LAT_LONG_NZGD2000_D2000,NA,NA,NA,8,712,200
aff2107a328f11737b32e8f920a5a41f,data/page/aff2107a328f11737b32e8f920a5a41f.json,"https://api.business.govt.nz/gateway/radio-spectrum-management/v1/licences?page=3&sort-by=Licence%20ID&sort-order=desc&txRx=TRN,%20RCV&LicenceDateType=LASTUPDATED_LU&fromDate=2024-11-25&toDate=2024-11-26&gridRefDefault=LAT_LONG_NZGD2000_D2000",2024-11-29T07:18:02Z,3,Licence ID,desc,"TRN, RCV",LASTUPDATED_LU,2024-11-25,2024-11-26,LAT_LONG_NZGD2000_D2000,NA,NA,NA,8,712,200
d565531a0d1e69f18525b509be496d62,data/page/d565531a0d1e69f18525b509be496d62.json,"https://api.business.govt.nz/gateway/radio-spectrum-management/v1/licences?page=2&sort-by=Licence%20ID&sort-order=desc&txRx=TRN,%20RCV&LicenceDateType=LASTUPDATED_LU&fromDate=2024-11-25&toDate=2024-11-26&gridRefDefault=LAT_LONG_NZGD2000_D2000",2024-11-29T07:18:02Z,2,Licence ID,desc,"TRN, RCV",LASTUPDATED_LU,2024-11-25,2024-11-26,LAT_LONG_NZGD2000_D2000,NA,NA,NA,8,712,200
59ed5e449b02fd955c3687d3bb29dfba,data/page/59ed5e449b02fd955c3687d3bb29dfba.json,"https://api.business.govt.nz/gateway/radio-spectrum-management/v1/licences?page=4&sort-by=Licence%20ID&sort-order=desc&txRx=TRN,%20RCV&LicenceDateType=LASTUPDATED_LU&fromDate=2024-11-24&toDate=2024-11-25&gridRefDefault=LAT_LONG_NZGD2000_D2000",2024-11-29T07:18:02Z,4,Licence ID,desc,"TRN, RCV",LASTUPDATED_LU,2024-11-24,2024-11-25,LAT_LONG_NZGD2000_D2000,NA,NA,NA,4,327,200
5e0a5699961ad73d53ab1568d7fa6ca8,data/page/5e0a5699961ad73d53ab1568d7fa6ca8.json,"https://api.business.govt.nz/gateway/radio-spectrum-management/v1/licences?page=3&sort-by=Licence%20ID&sort-order=desc&txRx=TRN,%20RCV&LicenceDateType=LASTUPDATED_LU&fromDate=2024-11-24&toDate=2024-11-25&gridRefDefault=LAT_LONG_NZGD2000_D2000",2024-11-29T07:18:02Z,3,Licence ID,desc,"TRN, RCV",LASTUPDATED_LU,2024-11-24,2024-11-25,LAT_LONG_NZGD2000_D2000,NA,NA,NA,4,327,200
